321690,Gianna Dossey,Northeast,7,111,266223.7100,15.860000000000,Optimal,Balanced
321500,Samuel Racine,Northeast,6,83,157039.3800,13.830000000000,Optimal,Balanced
321820,Dorotha Seawell,Southeast,11,134,287489.5600,12.180000000000,High Load,Balanced
321760,Delilah Krum,Midwest,8,126,315747.8900,15.750000000000,Optimal,Balanced
321620,Retha Sears,Northeast,3,38,53699.0300,12.670000000000,Underutilized,Can Take More Accounts
321710,Sherlene Wetherington,Midwest,5,40,104177.4900,8.000000000000,Optimal,Balanced
321950,Elwood Shutt,West,9,108,346698.0500,12.000000000000,High Load,Balanced
321560,Elba Felder,Northeast,6,38,40874.6600,6.330000000000,Optimal,Balanced
321770,Kathleen Lalonde,Midwest,4,21,43904.5100,5.250000000000,Underutilized,Can Take More Accounts
321790,Cordell Rieder,Midwest,3,57,105545.8000,19.000000000000,Underutilized,Can Take More Accounts
321990,Dawna Agnew,West,9,73,410948.9200,8.110000000000,High Load,Balanced
321970,Georgianna Chisholm,West,15,80,160911.8200,5.330000000000,Overloaded,Needs Support
321880,Babette Soukup,Southeast,7,38,73042.7000,5.430000000000,Optimal,Balanced
321930,Hilma Busick,West,10,70,130558.5300,7.000000000000,High Load,Balanced
321750,Cliff Meints,Midwest,7,92,301222.1300,13.140000000000,Optimal,Balanced
321730,Carletta Kosinski,Midwest,5,36,78105.0200,7.200000000000,Optimal,Balanced
321980,Micha Woodford,West,11,101,296821.1100,9.180000000000,High Load,Balanced
321640,Tia Amato,Northeast,8,155,466213.6400,19.380000000000,Optimal,Balanced
321580,Sibyl Lauria,Northeast,6,116,269561.7400,19.330000000000,Optimal,Balanced
321780,Julie Starr,Midwest,4,22,35914.1500,5.500000000000,Underutilized,Can Take More Accounts
321570,Shawanda Selke,Northeast,3,63,199381.8200,21.000000000000,Underutilized,Can Take More Accounts
321720,Chau Rowles,Midwest,5,43,72321.9000,8.600000000000,Optimal,Balanced
321740,Charles Bidwell,Midwest,7,129,306753.0400,18.430000000000,Optimal,Balanced
321900,Soraya Fulton,West,7,35,164177.1300,5.000000000000,Optimal,Balanced
321940,Arica Stoltzfus,West,10,72,246370.9900,7.200000000000,High Load,Balanced
321890,Nelle Meaux,Southeast,7,151,359779.8800,21.570000000000,Optimal,Balanced
321630,Julia Behrman,Northeast,8,75,209403.2000,9.380000000000,Optimal,Balanced
321610,Ayesha Monica,Northeast,3,54,146915.2600,18.000000000000,Underutilized,Can Take More Accounts
321850,Calvin Ollison,Southeast,11,121,227979.4800,11.000000000000,High Load,Balanced
321870,Derrick Boggess,Southeast,7,62,127986.5700,8.860000000000,Optimal,Balanced
321920,Marquetta Laycock,West,9,36,91534.7700,4.000000000000,High Load,Balanced
321550,Lavera Oles,Northeast,4,42,94845.0300,10.500000000000,Underutilized,Can Take More Accounts
321590,Necole Victory,Northeast,6,89,236570.1600,14.830000000000,Optimal,Balanced
321510,Eugena Esser,Northeast,6,69,127815.8200,11.500000000000,Optimal,Balanced
321840,Vernita Plump,Southeast,11,183,472044.1600,16.640000000000,High Load,Balanced
321520,Michel Averette,Northeast,7,111,238183.1700,15.860000000000,Optimal,Balanced
321830,Maren Musto,Southeast,11,139,297420.9900,12.640000000000,High Load,Balanced
321680,Elna Condello,Northeast,7,111,259329.9900,15.860000000000,Optimal,Balanced
321700,Debroah Wardle,Northeast,6,69,221615.6500,11.500000000000,Optimal,Balanced
321810,Moon Torian,Southeast,10,167,474372.0800,16.700000000000,High Load,Balanced
321600,Ernestine Pickron,Northeast,3,56,214979.4900,18.670000000000,Underutilized,Can Take More Accounts
321650,Akilah Drinkard,Northeast,3,43,120016.1100,14.330000000000,Underutilized,Can Take More Accounts
321860,Saran Ram,Southeast,10,67,163499.0400,6.700000000000,High Load,Balanced
321530,Renetta Carew,Northeast,4,52,97134.4700,13.000000000000,Underutilized,Can Take More Accounts
321540,Cara Clarke,Northeast,4,35,69428.7200,8.750000000000,Underutilized,Can Take More Accounts
321800,Earlie Schleusner,Southeast,11,202,506470.9200,18.360000000000,High Load,Balanced
321910,Brandie Riva,West,10,96,263542.8500,9.600000000000,High Load,Balanced
321670,Nakesha Renn,Northeast,3,8,15717.1200,2.670000000000,Underutilized,Can Take More Accounts
321660,Silvana Virden,Northeast,3,38,94772.3200,12.670000000000,Underutilized,Can Take More Accounts
321960,Maryanna Fiorentino,West,11,90,363890.5100,8.180000000000,High Load,Balanced
